faction,title,type,rarity,health,attack,defense,speed,crit_rate,crit_damage,resist,accuracy,skill_1,skill_2,skill_3,skill_4,skill_5
Dark Elves,Retainer,Defense,Rare,16185,672,1277,93,15,50,40,0,"Sundering Chop Level 1
 Attacks 1 enemy. Has a 40% chance of placing a 30% [Decrease
 DEF] debuff for 2 turns.
 
 Damage based on: [DEF]
 
  
 
 ® Decrease DEF
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvi. 4 Buff/Debuff Chance +10%","Resolute Stance Level 1
 Heals this Champion by 40% of their MAX HP and places a
 {Counterattack] buff on this Champion for 2 turns.
 
  
 
 = counterattack
 
  
 
 Lvl. 2 Heal +5%
 Lvl. 3 Heal +5%
 Lvl. 4 Heal +5%
 Lvl. 5 Cooldown -1","Hypnotize Level 1
 Attacks 1 enemy. Decreases the target's Turn Meter by 50%. If the
 target's Turn Meter is fully depleted, places a [Sleep] debuff on
 them for 1 turn.
 
 Damage based on: [DEF]
 
  
 
 Zz Sleep
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Damage +10%
 Lvl. 6 Cooldown -1",,
Dark Elves,Spirithost,Support,Rare,15360,1046,958,103,15,50,30,0,"Reap Level 1
 Attacks 1 enemy. Heals by 50% of the damage inflicted.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Strengthen Level 1
 Places a 50% [Increase ATK] buff on all allies for 2 turns.
 
  
 
 mw Increase ATK
 
  
 
 Lvl. 2 Cooldown -1","Dark Gift Level 1
 Removes all debuffs on all allies. Places a [Block Debuffs] buff on all
 allies for 1 turn.
 
 9g Block Debuffs
 
  
 
  
 
 Lvl. 2 Cooldown -1","Aura
 Increases Ally SPD in all Battles by 10%.",
Dark Elves,Wanderer,Attack,Rare,13050,1443,716,96,15,57,30,0,"Lay On Level 1
 Attacks 1 enemy. Has a 30% chance of placing a 15% [Weaken]
 debuff for 2 turns.
 
 Damage based on: [ATK]
 
 Weaken
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Damage +10%
 
 Lvl. 7 Buff/Debuff Chance +10%
 
 Ts a ~
 Ap a","Blade Symphony Level 1
 Attacks 1 enemy 2 times. Decreases the target's Turn Meter by
 10% if this attack is critical. Fills this Champion's Turn Meter by 10%
 if this attack is critical.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Cooldown -1","Pierce Through Level 1
 Attacks 1 enemy. Will ignore 25% of the target's DEF.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Cooldown -1","Aura
 Increases Ally ATK in Dungeons by 21%.",
Dark Elves,Heartpiercer,Attack,Uncommon,12555,1057,859,89,15,50,30,0,"Perforate Level 1
 Attacks 1 enemy.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Sight In Level 1
 Attacks 1 enemy. If the hit is critical, places a 25% [Increase ATK]
 buff on this Champion for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 - Increase ATK
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Cooldown -1",,,
Dark Elves,Redeemer,Attack,Uncommon,10905,1024,727,92,15,50,30,0,"Split Level 1
 Attacks 1 enemy. Places a 25% [Increase ATK] buff on this
 Champion for 1 turn if this attack is critical.
 
 Damage based on: [ATK]
 
  
 
 - Increase ATK
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Elven Blade Level 1
 Attacks 1 enemy. Has a 50% chance of placing a 2.5% [Poison]
 debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 @ Poison
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +15%
 Lvl. 6 Cooldown -1",,,
Dark Elves,Sniper,Attack,Uncommon,12555,1211,705,97,15,57,30,0,"Double Shot Level 1
 Attacks 1 enemy 2 times. Has an extra 15% chance of inflicting a
 critical hit. Fills this Champion's Turn Meter by 15% on each critical
 hit.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Rain of Arrows Level 1
 Attacks all enemies 2 times. Has a 10% chance of placing a 15%
 {Decrease SPD] debuff for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 z Decrease SPD
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Cooldown -1
 
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Buff/Debuff Chance +5%
 Lvl. 7 Damage +15%
 
 Lvl. 8 Buff/Debuff Chance +5%",,,
Demonspawn,Alure,Attack,Epic,14040,1575,793,96,15,60,30,0,"Psychic Whip Level 1
 Attacks 3 times at random. Decreases the target's Turn Meter by
 25% on each critical hit.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Temptation Level 1
 Attacks all enemies 2 times. Each hit has a 30% chance of placing a
 30% [Decrease DEF] debuff for 1 turn. Places a [Sleep] debuff for 1
 turn on targets under [Decrease DEF] debuffs.
 
 Damage based on: [ATK]
 
  
 
 d Decrease DEF
 Zz Sleep
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Cooldown -1
 
 Lvl. 7 Buff/Debuff Chance +10%","Hellish Blaze Level 1
 Attacks 1 enemy. Has an extra 30% chance of inflicting a critical hit.
 Will ignore 50% of the target's DEF.
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 
 a 3 > mE",,
Demonspawn,Erinyes,Attack,Epic,13050,1553,881,103,15,50,30,0,"Razor Claws Level 1
 Attacks 1 enemy. Has a 30% chance of placing a 5% [Poison] debuff
 for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 eg Poison
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Damage +10%","Almighty Curse Level 1
 Attacks all enemies. Has a 75% chance of increasing the duration of
 all debuffs on the target by 1 turn.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +10%
 Lvl. 6 Cooldown -1","Engulfing Flame Level 1
 Attacks 1 enemy. Places a [Block Buffs] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
  
 
 Ss Block Buffs
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Aura
 Increases Ally ACC in Dungeons by 70.
 2 Gs a. 7",
Demonspawn,Hellgazer,Attack,Epic,17670,1476,650,87,15,60,30,0,"Soul Rend Level 1
 Attacks 1 enemy. Has a 30% chance of placing a 60% [Decrease
 DEF] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 v Decrease DEF
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Dark Awakening Level 1
 Removes all debuffs from this Champion. Places a 50% [Increase
 ATK] buff on this Champion for 2 turns. Grants an Extra Turn.
 
  
 
 ™& increase ATK
 
  
 
 Lvl. 2 Cooldown -1","Malign Lightning Level 1
 Attacks all enemies. On each critical hit fills this Champion's Turn
 Meter by 10%.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Cooldown -1",,
Demonspawn,Nazana,HP,Epic,21480,859,1013,103,15,50,45,0,"Dark Lance Level 1
 Attacks all enemies.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Unholy Contract Level 1
 Places a 50% [Ally Protection] buff on all allies for 2 turns. Places a
 [Shield] buff on this Champion for 2 turns. The value of the [Shield]
 is equal to 40% of this Champion's MAX HP.
 
 % Ally Protection
 W® Shield
 
 Lvl. 2 Shield +5%
 Lvl. 3 Shield +5%
 Lvl. 4 Cooldown -1","Steel Breaker Level 1
 Attacks all enemies. Has a 50% chance of placing a 50% [Decrease
 ATK] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 Rm Decrease ATK
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +15%
 Lvl. 6 Cooldown -1
 
 Lvl. 7 Cooldown -1",,
Demonspawn,Peydma,Defense,Epic,17670,826,1299,101,15,50,45,0,"Agonize Level 1
 Attacks 1 enemy 2 times. Has a 25% chance of placing a 25%
 {Decrease ATK] debuff on the target for 2 turns.
 
 Damage based on: [DEF] [ATK]
 
  
 
 Fd Decrease ATK
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +10%","Flesh Warp Level 1
 Attacks all enemies. Has a 35% chance of placing a 50% [Decrease
 ACC] debuff for 2 turns.
 
 Damage based on: [DEF] [ATK]
 
  
 
 ¢ Decrease ACC
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +10%
 Lvl. 6 Cooldown -1","Appropriate Level 1
 Attacks 1 enemy. Removes all buffs from the target and places
 them on this Champion.
 
 Damage based on: [DEF]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1
 Lvl. 5 Damage +10%
 Lvl. 6 Cooldown -1",,
Demonspawn,Souldrinker,Attack,Epic,17340,1299,848,97,15,60,30,0,"Razing Hand Level 1
 Attacks 1 enemy. Decreases [Bomb] debuff detonation countdowns
 by 1 turn.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Raining Fire Level 1
 Attacks 3 times at random. Decreases [Bomb] debuff detonation
 countdowns by 1 turn if the target has a [Poison] debuff.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Magma Blast Level 1
 Attacks all enemies 2 times. Each hit has a 50% chance of placing a
 [Bomb] that detonates after 3 turns.
 
 Damage based on: [ATK]
 
  
 
 rd Bomb
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +15%
 Lvl. 5 Cooldown -1
 
 Si","Set Ablaze [Passive] Level 1
 Has an 80% chance of placing two [Bomb] debuffs on each enemy
 that detonate after 2 turns when this Champion dies.",
Demonspawn,Lord Shazar,HP,Legendary,15690,1343,1189,101,15,63,30,0,"Damnation Level 1
 Attacks 1 enemy 3 times. Damage increases by 15% for each
 debuff on the target.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Everlasting Fury Level 1
 Places a 50% [Increase ATK] buff on this Champion for 2 turns. This
 buff cannot be removed. Places a [Block Debuffs] buff on this
 Champion for 2 turns. Grants an Extra Turn.
 
 x Increase ATK
 9g Block Debuffs
 Lvl. 2 Cooldown -1
 
 Ta","Cruel Fate Level 1
 Attacks all enemies. Has a 75% chance of placing 2 [Bomb] debuffs
 that detonate after 2 turns. Decreases the detonation countdown
 by 1 turn if this attack is critical.
 
 Damage based on: [ATK]
 
  
 
 @ Bomb
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +15%
 Lvl. 5 Damage +15%
 
 Lvl. 6 Cooldown -1",Aura,
Demonspawn,Mortu-Macaab,Attack,Legendary,23130,1145,892,94,15,63,40,0,"Stigmata Level 1
 Attacks 1 enemy. Has a 60% chance of placing a 100% [Heal
 Reduction] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
  
 
 Heal Reduction
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Damage +15%
 
 Lvl. 6 Buff/Debuff Chance +15%","Falling from Grace Level 1
 Attacks all enemies 2 times. Places a [Block Buffs] debuff for 2
 turns on targets under [Heal Reduction] debuffs. Each hit has a 50%
 chance of placing a [Block Buffs] debuff for 2 turns against targets
 not under [Heal Reduction] debuffs.
 
 Damage based on: [ATK] [HP]
 @ Block Buffs
 
  
 
  
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Cooldown -1","Fiery Rage [Passive] Level 1
 Has a 10% chance to unlock a secret skill, Peril, for 1 turn. Also has a
 20% chance to fill this Champion's Turn Meter by 25% when
 attacked.","Peril Level 1
 Attacks 1 enemy 2 times. Will ignore [Shield] and [Block Damage}
 buffs as well as DEF. Enemies killed by this skill cannot be revived.
 
 Damage based on: [HP]
 
 4 Block Revive","Aura
 Increases Ally SPD in all Battles by 24%."
Demonspawn,Prince Kymar,Support,Legendary,18990,1046,1266,103,15,50,40,0,"Phantom Fire Level 1
 Attacks all enemies. Places a 5% [Poison] debuff for 1 turn if this
 attack is critical.
 
 Damage based on: [ATK]
 
  
 
 e Poison
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Abyssal Gaze Level 1
 Attacks all enemies. Removes all buffs. Places a [Sleep] debuff for
 1 turn.
 
 Damage based on: [ATK]
 
  
 
 zz Sleep
 
 Lvl. 2 Damage +10%
 Lvl. 3 Damage +10%
 Lvl. 4 Cooldown -1
 Lvl. 5 Cooldown -1","Seal of Magic Level 1
 Resets the cooldowns of all ally skills. Fills the Turn Meter of all
 allies except this Champion by 20%.
 
  
 
 Lvl. 2 Cooldown -1","Aura
 Increases Ally SPD in the Arena by 30%.",
Demonspawn,Diabolist,Support,Rare,18660,1002,782,110,15,50,30,0,"Torment Level 1
 Attacks 1 enemy. Has a 10% chance of placing a [Sleep] debuff for
 1 turn.
 
 Damage based on: [ATK]
 
  
 
 zz Sleep
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Buff/Debuff Chance +5%","Electric Storm Level 1
 Attacks all enemies. Places a 30% [increase SPD] buff on all allies
 for 2 turns.
 
 Damage based on: [ATK]
 
  
 
  
 
 x Increase SPD
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1","Positive Charge Level 1
 Fills the Turn Meter of all allies by 15%. Decreases the Turn Meter
 of all enemies by 15%.
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1
 
 7h",,
Demonspawn,Fellhound,Defense,Rare,14865,958,1079,92,15,50,40,0,"Ravage Level 1
 Attacks all enemies. Has a 25% chance of placing a 15% [Decrease
 SPD] debuff for 2 turns.
 
 Damage based on: [DEF] [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +5%
 
 7
 
  
 
  
 
 Decrease SPD","Flameborn Vigor Level 1
 Places a 7.5% [Continuous Heal] buff and a 15% [Reflect Damage]
 buff on all allies for 2 turns.
 
  
 
 & Continuous Heal
 ® Reflect Damage
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1","Deflect Level 1
 Places a [Block Damage] buff on an ally for 1 turn.
 @ Block Damage
 
  
 
 Lvl. 2 Cooldown -1",,
Demonspawn,Hellfang,Attack,Rare,14370,1222,837,99,15,57,30,0,"Tear Level 1
 Attacks 1 enemy. Has a 15% chance of putting the target's skills on
 cooldown.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Buff/Debuff Chance +5%","Hunter's Mark Level 1
 Attacks 1 enemy. Has a 50% chance of placing a 25% [Weaken]
 debuff for 1 turn.
 
 Damage based on: [ATK]
 Weaken
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Buff/Debuff Chance +15%
 Lvl. 7 Cooldown -1","Chilling Howl Level 1
 Attacks all enemies. Has a 50% chance of placing a [Freeze] debuff
 for 1 turn.
 
 [Only available when Hound Spawn is on the same team.]
 
 Damage based on: [ATK]
 
  
 
 & Freeze
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +15%
 Lvl. 6 Cooldown -1
 
  
 
 Lvl. 7 Cooldown -1","Aura
 Increases Ally ATK in Dungeons by 21%.",
Demonspawn,Hound Spawn,Attack,Rare,13050,1387,760,93,15,50,30,0,"Fire Breath Level 1
 Attacks 1 enemy. Has a 20% chance of placing a [Stun] debuff for 1
 turn.
 
 Damage based on: [ATK]
 
 oO Stun
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Damage +5%","Adamantine Teeth Level 1
 Attacks 1 enemy 2 times. Has a 50% chance of placing a 60%
 [Decrease DEF] debuff for 1 turn.
 
 Damage based on: [ATK]
 
 yy Decrease DEF
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Buff/Debuff Chance +10%
 Lvl. 6 Buff/Debuff Chance +15%
 
 Fi","Shattering Strike Level 1
 Attacks all enemies. Will Ignore DEF and [Block Damage] buffs if the
 target has a [Freeze] debuff.
 
 [Only available when Hellfang is on the same team.]
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Damage +10%
 Lvl. 6 Cooldown -1",,
Demonspawn,Ifrit,HP,Rare,18825,815,969,95,15,50,40,0,"Feebleness Curse Level 1
 Attacks 1 enemy. Places a 15% [Weaken] debuff for 1 turn.
 
  
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Withering Bolt Level 1
 Attacks 1 enemy. Places a 25% [Decrease ATK] debuff for 2 turns.
 Damage increases according to this Champion's MAX HP.
 
 Damage based on: [ATK] [HP]
 
  
 
 ye Decrease ATK
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Cooldown -1","Shadow Field [Passive] Level 1
 Decreases the damage received by 50% if damage from a single hit
 exceeds 30% HP. Places a 30% [Decrease DEF] debuff for 2 turns on
 the attacker if the attack is critical.
 
 @ Decrease DEF","Aura
 Increases Ally HP in all Battles by 15%.",
Demonspawn,Marquess,Defense,Rare,17175,870,1013,89,15,50,30,10,"Disdainful Swipe Level 1
 Attacks 1 enemy. Has a 25% chance of placing a 25% [Decrease
 ATK] debuff for 2 turns.
 
 Damage based on: [DEF]
 
  
 
 x Decrease ATK
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Buff/Debuff Chance +5%","Crush the Weak Level 1
 Attacks all enemies. Has a 35% chance of placing a 15% [Weaken]
 debuff for 2 turns. Deals extra damage to enemies with the
 {Weaken] debuff.
 
 Damage based on: [DEF]
 
  
 
 3 Weaken
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Buff/Debuff Chance +5%","Freeze Solid Level 1
 Attacks 1 enemy. Has a 75% chance of placing a [Freeze] debuff for
 1 turn.
 
 Damage based on: [DEF]
 * Freeze
 
  
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Cooldown -1
 
 Lvl. 7 Damage +10%
 
 Lvl. 8 Buff/Debuff Chance +10%",,
Demonspawn,Marquis,Defense,Rare,16845,892,1013,97,15,50,40,0,"Skewer Level 1
 Attacks 1 enemy. If the hit is critical, places a 15% [Decrease SPD]
 debuff.
 
 Damage based on: [ATK]
 
  
 
 9 Decrease SPD
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Infernal Skill Level 1
 Places a [Counterattack] buff and a 15% [Continuous Heal] buff on
 this Champion for 2 turns.
 
  
 
 == Counterattack
 = Continuous Heal
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1","Paralyzing Bolts Level 1
 Attacks all enemies. Has a 35% chance of placing a [Sleep] debuff
 for 1 turn. This debuff cannot be removed.
 
 Damage based on: [ATK]
 
  
 
 Zz Sleep
 
  
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Cooldown -1","Aura
 Increases Force Ally HP in all Battles by 18%.
 
 ¥",
Demonspawn,Incubus,Attack,Uncommon,11235,1145,859,95,15,50,30,0,"Javelin Level 1
 Attacks 1 enemy. Has a 10% chance of placing an extra hit.
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Damage +5%","Demon Fangs Level 1
 Attacks 3 times at random. Resets the cooldown on this skill if the
 target is killed.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Damage +5%",,,
Demonspawn,Lemure,HP,Uncommon,18165,639,903,93,15,50,30,0,"Vicious Swipes Level 1
 Attacks 1 enemy 2 times.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%","Dark Burst Level 1
 Attacks 1 enemy. Has a 60% chance of placing a [Bomb] that
 detonates in 3 turns.
 
 Damage based on: [ATK] [HP]
 
  
 
 & Bomb
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +10%",,,
Demonspawn,Pitspawn,Defense,Uncommon,13545,881,969,86,15,50,30,0,"Evil Touch Level 1
 Attacks 1 enemy.
 
 Damage based on: [DEF]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Darkness Level 1
 Attacks all enemies. Has a 25% chance of placing a 25% [Decrease
 ATK] debuff for 2 turns.
 
 Damage based on: [DEF]
 
  
 
 ye Decrease ATK
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +10%
 
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +10%
 Lvl. 6 Cooldown -1",,,
High Elves,Battlesage,Support,Epic,18000,980,1123,100,15,50,30,0,"Lightning Slash Level 1
 Attacks all enemies.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Nature's Touch Level 1
 Removes all debuffs on all allies, then places a 50% [Increase ATK]
 
  
 
 buff on all allies for 2 turns. This buff cannot be removed.
 
 x Increase ATK
 Lvl. 2 Cooldown -1","Mother's Embrace Level 1
 Places a [Revive On Death] buff on a target ally for 3 turns. The ally
 will instantly revive if killed.
 
  
 
 W Revive On Death
 
  
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1","Aura
 Increases Ally SPD in all Battles by 19%",
High Elves,Exemplar,Attack,Epic,13545,1509,892,94,15,60,30,0,"High Stance Level 1
 Attacks 1 enemy 2 times. Places an extra hit if this attack is critical.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Pincer Attack Level 1
 Attacks 3 times at random. Each hit has a 50% chance of placing a
 25% [Weaken] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 * Weaken
 
  
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1
 
 Lvl. 6 Cooldown -1","Capture Level 1
 Attacks 1 enemy. Has a 75% chance of placing a [Freeze] debuff for
 1 turn and a [Block Cooldown Skills] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 * Freeze
 § Block Cooldown Skills
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1","Aura
 Increases Ally C. RATE in the Arena by 27%.",
